HWH,HOWRAH JUNCTION,23,"LOWER FORESHORE ROAD, PH NO: 033-26411326, HOWRAH 711101,WEST BENGAL"
BWN,BARDDHAMAN JUNCTION,8,"RAILWAY OVERBRIDGE, RAILWAY LOCO COLONY, GRAND TRUNK ROAD , PH - 0342-2662534, DIST - BURDWAN, 713103,WEST BENGAL"
PAN,PANAGARH,4,"0343-2524245, KAKSA,WEST BENGAL"
DGR,DURGAPUR,5,"DURGAPUR RAILWAY STATION COMPLEX, DURGAPUR,713201,WEST BENGAL"
UDL,ANDAL JUNCTION,6,"0341-2373225, NH 2, ANDAL,WEST BENGAL"
RNG,RANIGANJ,4,"0341-2445240, STATION RD, RANIGANJ ,WEST BENGAL 713347,WEST BENGAL"
ASN,ASANSOL JUNCTION,7,"RAILPAR STATION ROAD, ASANSOL-713301:PHONE(ENQUIRY) NO. 0341-2306131 , DIST - BARDHAMAN,WEST BENGAL"
INDB,INDORE JUNCTION BG,6,"CHHOTI GWALTOLI, SIYAGANJ, INDORE 452001,MADHYA PRADESH"
DWX,DEWAS JUNCTION,2,"JUNCTION POINT - INDB,MKC ,UJN STATE HIGHWAY 18, DEWAS,MADHYA PRADESH"
UJN,UJJAIN JUNCTION,8,"JN PT. RTM/DWX/MKC/FTD/INDM/ SH 27, STATION ROAD, UJJAIN 456001,MADHYA PRADESH"
SJP,SHUJALPUR,3,"SH 41, SHUJALPUR, DISTRICT SHAJAPUR,MADHYA PRADESH"
BPL,BHOPAL JUNCTION,6,"JUNCTION POINT BINA/MKC/ET, NAVBAHAR COLONY, BHOPAL, 462001,MADHYA PRADESH"
ET,ITARSI JUNCTION,8,"JN. PT. BPL/JBP/AMLA/KNW, FOOT OVER BRIDGE, VENKATESH COLONY, ITARSI,461111,ITARSI,DISTRICT HOSHANGABAD,MADHYA PRADESH"
GDYA,GHORADONGRI,3,"GHORADONGRI, BETUL,MADHYA PRADESH"
BZU,BETUL,3,"HOUSING BOARD COLONY, GANJ, BETUL-460001,MADHYA PRADESH"
AMLA,AMLA JUNCTION,4,"JN. PT. - ET/NGP/CWA DISTT. BETUL, (M.P.) 460551,MADHYA PRADESH"
PAR,PANDHURNA,2,"OFF SH 10, DISTT: CHHINDWARA,MADHYA PRADESH"
NGP,NAGPUR JUNCTION,8,"JN. PT. BD/G/ET/CWA/NAB, NEAR STATE BANK OF INDIA,JAI STAMBH CHOWK,OFF CENTRAL AVENUE RD, NAGPUR 440001,MAHARASHTRA"
SEGM,SEWAGRAM JUNCTION,5,"JUNCTION POINT MJRI/NGP/WR ,SEVAGRAM, WARDHA,MAHARASHTRA"
HGT,HINGANGHAT,3,"NATIONAL HIGHWAY 7, HINGANGHAT,MAHARASHTRA"
CD,CHANDRAPUR,3,"STATE HIGHWAY 264, GANJ WARD, PH : 07172 - 250500, CHANDRAPUR 442401,MAHARASHTRA"
BPQ,BALHARSHAH JUNCTION,5,"PEDESTRIAN OVERPASS, DR. BABASAHEB AMBEDKAR WARD 25, BALHARSHAH 442901,MAHARASHTRA"
SKZR,SIRPUR KAGHAZNAGAR,3,"MG RD, TEL: 08738-238717, KAGHAZNAGAR, ADILABAD DIST.,TELANGANA"
BPA,BELLAMPALLI,3,"RAJIV RAHADARI, MANCHERIYAL ROAD,BELAMPALLI, ADILABAD DIST., TEL:.08735 223298,TELANGANA"
